업체명,위도,경도
타이드어웨이풀빌라,35.18217092,129.2085278
연화리330 POOL VILLA Bon reve,35.21558798,129.2229938
로드엠게스트하우스펜션,35.22374937,129.2310754
연화펜션,35.21366559,129.2218632
지앤지모텔,35.21419613,129.222202
MVG무인텔,35.2139435,129.2220125
아난티 힐튼 부산,35.19795241,129.2280692
꿈의궁전모텔,35.22228138,129.2270277
오즈모텔,35.2207852,129.2271806
별이그린바다펜션,35.18223994,129.2110845
아난티코브,35.19973708,129.22865
필모텔,35.21377212,129.2219608
숲속농원,35.21903124,129.1828651
기장숲속농원캠프,35.21882078,129.1829515
사랑애펜션,35.23775114,129.2416983
휴인펜션,35.18455021,129.2102251
더하루펜션,35.18525193,129.2104981
마루하우스펜션,35.18618548,129.2108578
아라하우스펜션,35.18397327,129.2095241
더베이펜션,35.18436889,129.2101493
솔레이펜션,35.18372558,129.2096279
브라이트펜션,35.1846836,129.2102984
부산라메르펜션,35.18491747,129.2103747
백용펜션,35.18474468,129.2099886
더펜션502,35.18814181,129.2113813
해오름펜션,35.18782476,129.2112324
J&J하우스,35.18796486,129.2113093
바우하우스펜션,35.18480392,129.2098608
송정로뎀나무펜션,35.18485999,129.2095295
메종펜션,35.18394728,129.209296
그루브펜션,35.18611091,129.208151
GB코티지,35.1855167,129.2093375
오시리아인펜션,35.18516607,129.2093698
엘티움,35.18598512,129.2095581
송정 메이플하우스,35.18544856,129.2095472
송정드림펜션,35.18494196,129.2092725
팰리스모텔,35.23391641,129.2188739
더원모텔,35.22715554,129.2270725
하얀둥지펜션,35.2274257,129.2268482
더캐슬해운대비치,35.22680247,129.2213595
해운대비치골프앤리조트,35.22750673,129.22575
올리브모텔,35.23409002,129.2185079
비너스모텔,35.23313818,129.2191334
부산 기장 휴,35.23479568,129.215477
시랑리129펜션,35.19664328,129.2249174
돌담집그곳,35.19594168,129.2231
드림하우스펜션,35.24026608,129.2478811
죽성여관,35.24069847,129.2471192
TOC모텔,35.25135363,129.2082617
모텔헤이데이,35.24929092,129.2097105
베스트루이스해밀턴호텔 기장점,35.24951122,129.2096433
2001HAMILTONHOTEL,35.24947386,129.2095375
모텔헤이데이,35.24928498,129.2097099
베스트루이스해밀턴호텔,35.24946788,129.2095269
서랑펜션,35.20102999,129.2059
펜션드리머,35.21697178,129.2253055
필모텔,35.21613866,129.2249753
엔줄리오펜션,35.2153393,129.2231287
기장브라운도트펜션,35.21792679,129.2254973
IW모텔,35.22049782,129.2273042
브라운도트호텔,35.21789346,129.22571
넘버이십오,35.21918249,129.2264024
엔쥴리오,35.21530937,129.2231286
초콜릿,35.21637501,129.2251359
초콜릿모텔,35.21643343,129.2251298
기장호텔,35.24148239,129.2144519
테마,35.24201229,129.2151228
루이스호텔,35.24167138,129.2157481
기장루이스호텔,35.24173549,129.215798
드림모텔,35.2530168,129.2143901
호텔리안,35.25038237,129.2137116
부띠끄호텔 오월로,35.25010344,129.2136728
브룩스호텔,35.25067491,129.2135032
부띠끄호텔 오월로,35.25010921,129.2136787
이데아호텔,35.25362273,129.2143276
2PM호텔,35.25074703,129.2137006
큐모텔,35.25059418,129.2141236
HOTEL페오,35.25316662,129.2139845
짱모텔,35.25112852,129.2137112
넘버25호텔,35.25229656,129.2142802
힐모텔,35.25295621,129.2145426
이지고글램핑,35.27931701,129.2020381
지오클럽캠핑장,35.25771827,129.2357055
일광민박딴따라,35.26290854,129.2335084
민캠프힐링오토캠핑장,35.28975511,129.2344849
사랑채캠프,35.25906518,129.2339539
일광추억이머무르는곳,35.26257492,129.232687
테라스,35.26081708,129.2331247
일출민박,35.25957291,129.2332452
속시원한대구탕,35.26057537,129.2332445
채움펜션,35.30331368,129.2584342
일광온정바다,35.28284033,129.2583936
메모리펜션,35.28278644,129.2592046
바다펜션,35.28278066,129.258697
비치하임펜션,35.30734392,129.2589104
몽블랑모텔,35.26447598,129.2336108
캐슬모텔,35.26491276,129.2337386
쉼표모텔,35.26474117,129.2346141
해변24편의점,35.2640334,129.2344786
해나무민박,35.2626697,129.2332637
늘봄모텔,35.26582452,129.233977
즐거운민박,35.26383724,129.2343323
삼성장펜션,35.26328944,129.2335718
제이스펜션&글램핑,35.27724586,129.2343007
일광하우스,35.26493239,129.2385515
바베네캠핑장,35.27293273,129.2535064
일광펜션,35.31267275,129.2612869
까페카라반,35.30914968,129.2592798
기장메이트펜션,35.31081929,129.2600777
모아펜션,35.31252254,129.2612205
리버사이드펜션,35.29293062,129.2596678
일광메모리펜션,35.28283169,129.2590806
사계절펜션,35.31166766,129.2604364
드메르펜션,35.2923648,129.2598971
바다하우스,35.29346477,129.2598241
별장민박,35.3122733,129.2612304
큐모텔,35.2641028,129.2333035
알로하펜션,35.29389668,129.2601787
발리모텔,35.26206704,129.2315489
아셀펜션,35.26179764,129.2327962
어베인,35.26122324,129.2330551
1872팡시온펜션,35.25775916,129.2435827
부산해운대1872팡시온,35.25773869,129.2435454
메르쏭하우스,35.25807928,129.2432716
하루펜션,35.25859718,129.2433438
고운학리펜션,35.25835087,129.2431815
라고마르펜션,35.25891439,129.2434036
하운드호텔,35.26552711,129.2305381
농촌체험민박집,35.2964199,129.2025782
일광횡계민박,35.27170254,129.222095
엔젤앤가든,35.32483556,129.270191
길천여인숙,35.32687594,129.283682
산수유,35.36885054,129.2459056
늘봄펜션,35.34719821,129.2413723
만석꾼캠핑장,35.33110731,129.2711622
월내태양민박,35.32614394,129.2772528
달빛펜션,35.31859452,129.2632604
아름민박집,35.3182258,129.2631794
해변민박,35.31776609,129.2629941
임랑별장민박,35.31711904,129.2625183
성남편의점민박,35.32063136,129.2659866
선민박,35.31824836,129.2637955
한바다민박,35.31789191,129.263312
임랑펜션형브이민박,35.32042177,129.2658064
더뷰펜션,35.31670959,129.2625779
양지민박,35.31898708,129.2638711
임랑태양민박,35.3175556,129.263172
동부산온천호텔,35.34336416,129.2531894
산장가든,35.36840787,129.246617
장안사민박형펜션,35.34845494,129.2536186
한옥펜션금수동,35.34466882,129.2532313
금관글램핑,35.34359963,129.253861
장원민박,35.34819263,129.2537714
수드,35.36582222,129.2490417
금관가든,35.34358314,129.253817
장안캠프,35.3421815,129.2523192
동부산온천호텔,35.34333574,129.2531717
루나펜션,35.3635823,129.250344
엔젤앤가든,35.32503924,129.2708113
해파랑민박,35.32096957,129.2668787
보리수펜션,35.32512177,129.2710794
더무빙카라반캠핑,35.32266612,129.2700949
텐트오브미팅,35.32402981,129.2736679
오투펜션,35.32187198,129.2679362
얀카라반펜션,35.32156866,129.2672237
기장문화예절학교,35.32554346,129.2682629
호수아펜션민박,35.32136008,129.2667894
휴펜션,35.37055583,129.2444009
다란향 한옥,35.31514631,129.1715894
호텔다온,35.3212147,129.1799899
큐브모텔,35.3212428,129.179862
파크모텔,35.32181376,129.1803163
기장군청소년수련관,35.31111144,129.1997541
병산골목장캠핑,35.34530836,129.1877889
초원숲속글램핑,35.34537339,129.1877351
초원숲속야영장,35.34507392,129.1877069
호수글램핑,35.34646376,129.1851427
k2모텔,35.31610069,129.1821329
브라운도트호텔,35.31611203,129.1817517
호텔라움,35.3160994,129.1809748
호텔썸,35.31610989,129.181374
더원호텔,35.31639229,129.1842866
호텔여기어때,35.31622426,129.1827183
부산꿈틀어린이텃밭학교,35.27780524,129.146678
낙원농원,35.33627132,129.1268525
실베네집,35.23616044,129.1765641
